Gran Turismo 3: A-Spec;PS2;2001;Racing;Sony Computer Entertainment;6.85;5.09;1.87;1.16
Call of Duty: Modern Warfare 3;X360;2011;Shooter;Activision;9.03;4.28;0.13;1.32
Pokemon Yellow: Special Pikachu Edition;GB;1998;Role-Playing;Nintendo;5.89;5.04;3.12;0.59
Call of Duty: Black Ops;X360;2010;Shooter;Activision;9.67;3.73;0.11;1.13
Pokemon HeartGold/Pokemon SoulSilver;DS;2009;Action;Nintendo;4.4;2.77;3.96;0.77
High Heat Major League Baseball 2003;PS2;2002;Sports;3DO;0.18;0.14;0;0.05
Panzer Dragoon;SAT;1995;Shooter;Sega;0;0;0.37;0
Corvette;GBA;2003;Racing;TDK Mediactive;0.2;0.07;0;0.01
Resident Evil: Revelations;PS3;2013;Action;Capcom;0.14;0.32;0.22;0.12
Mission: Impossible - Operation Surma;PS2;2003;Platform;Atari;0.14;0.11;0;0.04
Suikoden Tierkreis;DS;2008;Role-Playing;Konami Digital Entertainment;0.09;0.01;0.15;0.01
Dragon Ball GT: Final Bout;PS;1997;Fighting;Namco Bandai Games;0.02;0.02;0.22;0.02
Harry Potter and the Sorcerer's Stone;PS2;2003;Action;Electronic Arts;0.14;0.11;0;0.04
Tropico 4;PC;2011;Strategy;Kalypso Media;0.1;0.13;0;0.04
Call of Juarez: The Cartel;X360;2011;Shooter;Ubisoft;0.14;0.11;0;0.03
Prince of Persia: The Two Thrones;GC;2005;Action;Ubisoft;0.11;0.03;0;0
NHL 07;PSP;2006;Sports;Electronic Arts;0.13;0.02;0;0.02
Disney's Winnie the Pooh's Rumbly Tumbly Adventure;GBA;2005;Platform;Ubisoft;0.09;0.03;0;0
Batman & Robin;PS;1998;Action;Acclaim Entertainment;0.06;0.04;0;0.01
Spider-Man: Battle for New York;DS;2006;Platform;Activision;0.12;0;0;0.01
